event_id,event_name,event_date,event_city,event_state,event_country
bc0f994de0521926,UFC Fight Night: Royval vs. Kape,2025-12-13,Las Vegas,Nevada,USA
00e11b5c8b7bfeeb,UFC 324: Gaethje vs. Pimblett,2026-01-24,Las Vegas,Nevada,USA
30ad2050273d016a,UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Sydney,New South Wales,Australia
c337c3c85b1871e0,UFC Fight Night,2026-02-07,Las Vegas,Nevada,USA
79ab17db3b40831a,UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Houston,Texas,USA
0cfbbfa0ba6d9855,UFC Fight Night,2026-02-28,Mexico City,Distrito Federal,Mexico
15ec018d144710db,UFC 326: Holloway vs. Oliveira 2,2026-03-07,Las Vegas,Nevada,USA
babc6b5745335f18,UFC Fight Night,2026-03-14,Las Vegas,Nevada,USA
69108cb8b32efe04,UFC Fight Night,2026-03-21,London,England,United Kingdom
5c38639f860a5542,UFC Fight Night,2026-03-28,Seattle,Washington,USA
